Oracle,VM.Standard3.Flex,4,16,EBS-Only,12.5,4.416,Southeastern United States
Oracle,VM.Optimized3.Flex,4,8,EBS-Only,12.5,5.472,Southeastern United States
Amazon Web Services (AWS),c6a.32xlarge,128,256,EBS-Only,50,219.0408,Southeastern United States
Amazon Web Services (AWS),c6a.48xlarge,192,384,EBS-Only,50,328.5614,Southeastern United States
Amazon Web Services (AWS),c5ad.12xlarge,48,96,2x900 NVMe SSD,12,84.1920,Southeastern United States
Amazon Web Services (AWS),c5ad.16xlarge,64,128,2x1200 NVMe SSD,20,112.2720,Southeastern United States
Amazon Web Services (AWS),c5ad.24xlarge,96,192,2x1900 NVMe SSD,20,168.4080,Southeastern United States
Amazon Web Services (AWS),c6a.32xlarge,128,256,EBS-Only,50,219.0408,Southwestern United States
Amazon Web Services (AWS),c6a.48xlarge,192,384,EBS-Only,50,328.5614,Southwestern United States
Amazon Web Services (AWS),c5ad.12xlarge,48,96,2x900 NVMe SSD,12,84.1920,Northeastern United States
Amazon Web Services (AWS),c5ad.16xlarge,64,128,2x1200 NVMe SSD,20,112.2720,Northeastern United States
Amazon Web Services (AWS),c5ad.24xlarge,96,192,2x1900 NVMe SSD,20,168.4080,Northeastern United States
Amazon Web Services (AWS),x2iezn.8xlarge,32,1.024,EBS-Only,75,133.9104,Western United States
Amazon Web Services (AWS),x2iezn.12xlarge,48,1.536,EBS-Only,100,200.8656,Western United States
Amazon Web Services (AWS),z1d.6xlarge,24,192,1x900 NVMe SSD,10,60.2400,Midwestern United States
Amazon Web Services (AWS),z1d.12xlarge,48,384,2x900 NVMe SSD,25,120.4800,Midwestern United States
Amazon Web Services (AWS),x2iezn.8xlarge,32,1.024,EBS-Only,75,133.9104,Midwestern United States
Amazon Web Services (AWS),x2iezn.12xlarge,48,1.536,EBS-Only,100,200.8656,Midwestern United States
Amazon Web Services (AWS),m6in.large,2,8,EBS-Only,25,4.3130,Midwestern United States
Amazon Web Services (AWS),m6in.xlarge,4,16,EBS-Only,30,8.6263,Midwestern United States
Amazon Web Services (AWS),m6in.2xlarge,8,32,EBS-Only,40,17.2526,Midwestern United States
Amazon Web Services (AWS),m6in.4xlarge,16,64,EBS-Only,50,34.5053,Midwestern United States
Amazon Web Services (AWS),m6in.8xlarge,32,128,EBS-Only,50,69.0106,Midwestern United States
Amazon Web Services (AWS),m6in.12xlarge,48,192,EBS-Only,75,103.5158,Midwestern United States
Amazon Web Services (AWS),m6in.12xlarge,48,192,EBS-Only,75,103.5158,Southeastern United States
